FULL_NAME,DRAFT_YEAR,RET_YEAR,SP,OLDHEAD,MIDDLE,MODERN,GP,PTS,REB,AST,STL,BLK,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,RINGS,FMVP,MVP,ALL_NBA,ALL_STAR,ALL_DEF,ROTY,DPOY,HOF
Vlatko Cancar,2019.0,2022.0,4.0,0.0,0.0,1.0,130.0,461.0,219.0,114.0,36.0,20.0,3.5,1.7,0.9,0.3,0.2,0.479,0.361,0.847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day'Ron Sharpe,2021.0,2023.0,3.0,0.0,0.0,1.0,141.0,840.0,749.0,139.0,49.0,91.0,6.0,5.3,1.0,0.3,0.6,0.565,0.364,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojan Bogdanovic,2014.0,2023.0,10.0,0.0,0.0,1.0,719.0,11184.0,2559.0,1194.0,398.0,55.0,15.6,3.6,1.7,0.6,0.1,0.46,0.394,0.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Bouknight,2021.0,2023.0,3.0,0.0,0.0,1.0,79.0,383.0,133.0,73.0,22.0,7.0,4.8,1.7,0.9,0.3,0.1,0.363,0.335,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markieff Morris,2011.0,2023.0,13.0,0.0,0.0,1.0,776.0,8020.0,3824.0,1200.0,592.0,377.0,10.3,4.9,1.5,0.8,0.5,0.445,0.343,0.778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Lopez,2008.0,2023.0,16.0,0.0,0.0,1.0,992.0,8326.0,4660.0,819.0,219.0,1045.0,8.4,4.7,0.8,0.2,1.1,0.537,0.297,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dexter Dennis,2023.0,2023.0,1.0,0.0,0.0,1.0,4.0,22.0,9.0,4.0,0.0,1.0,5.5,2.2,1.0,0.0,0.2,0.526,0.125,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ron Harper Jr.,2022.0,2023.0,2.0,0.0,0.0,1.0,10.0,20.0,7.0,5.0,0.0,1.0,2.0,0.7,0.5,0.0,0.1,0.5,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Kuzma,2017.0,2023.0,7.0,0.0,0.0,1.0,476.0,8246.0,3043.0,1294.0,268.0,262.0,17.3,6.4,2.7,0.6,0.6,0.451,0.337,0.733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bryant,2017.0,2023.0,7.0,0.0,0.0,1.0,267.0,2529.0,1451.0,273.0,87.0,193.0,9.5,5.4,1.0,0.3,0.7,0.596,0.355,0.768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Clarkson,2014.0,2023.0,10.0,0.0,0.0,1.0,716.0,11429.0,2405.0,2073.0,583.0,107.0,16.0,3.4,2.9,0.8,0.1,0.438,0.335,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
