FULL_NAME,DRAFT_YEAR,RET_YEAR,SP,OLDHEAD,MIDDLE,MODERN,GP,PTS,REB,AST,STL,BLK,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,RINGS,FMVP,MVP,ALL_NBA,ALL_STAR,ALL_DEF,ROTY,DPOY,HOF
Lucius Allen,1969,1978,10,1,0,0,702,9407,2205.0,3174,0,0,13.4,3.1,4.5,0.0,0.0,0.463,0.0,0.76,1,0,0,0,0,0,0,0,0
Doug West,1989,2000,12,0,1,0,676,6477,1670.0,1292,459,189,9.6,2.5,1.9,0.7,0.3,0.481,0.191,0.801,0,0,0,0,0,0,0,0,0
Chris Silva,2019,2022,4,0,0,1,70,193,189.0,36,10,28,2.8,2.7,0.5,0.1,0.4,0.609,0.25,0.707,0,0,0,0,0,0,0,0,0
Ed Gray,1997,1998,2,0,1,0,60,373,73.0,46,27,12,6.2,1.2,0.8,0.4,0.2,0.339,0.341,0.814,0,0,0,0,0,0,0,0,0
Ricky Rubio,2011,2022,12,0,0,1,698,7570,2830.0,5160,1226,94,10.8,4.1,7.4,1.8,0.1,0.388,0.324,0.843,0,0,0,0,0,0,0,0,0
Tony Fuller,1980,1980,1,0,1,0,15,60,42.0,28,10,1,4.0,2.8,1.9,0.7,0.1,0.364,0.0,0.75,0,0,0,0,0,0,0,0,0
B.J. Armstrong,1989,1999,11,0,1,0,747,7320,1321.0,2479,533,47,9.8,1.8,3.3,0.7,0.1,0.477,0.425,0.856,3,0,0,0,1,0,0,0,0
Art Hillhouse,1946,1947,2,1,0,0,71,418,,44,0,0,5.9,0.0,0.6,0.0,0.0,0.277,0.0,0.739,1,0,0,0,0,0,0,0,0
Glenn Robinson III,2014,2020,7,0,0,1,304,1804,776.0,238,149,58,5.9,2.6,0.8,0.5,0.2,0.457,0.373,0.779,0,0,0,0,0,0,0,0,0
Ramon Sessions,2007,2017,11,0,0,1,691,7141,1840.0,2807,472,52,10.3,2.7,4.1,0.7,0.1,0.434,0.316,0.791,0,0,0,0,0,0,0,0,0
Slava Medvedenko,2000,2006,7,0,0,1,263,1390,744.0,136,88,42,5.3,2.8,0.5,0.3,0.2,0.45,0.154,0.74,1,0,0,0,0,0,0,0,0
Dajuan Wagner,2002,2006,5,0,0,1,103,964,142.0,195,69,14,9.4,1.4,1.9,0.7,0.1,0.366,0.321,0.77,0,0,0,0,0,0,0,0,0
Travis Diener,2005,2009,5,0,0,1,179,854,243.0,432,76,9,4.8,1.4,2.4,0.4,0.1,0.388,0.353,0.847,0,0,0,0,0,0,0,0,0
Jerry West,1960,1973,14,1,0,0,932,25192,5376.0,6238,0,0,27.0,5.8,6.7,0.0,0.0,0.474,0.0,0.814,1,1,0,12,14,5,0,0,1
Steve Green,1976,1978,3,1,0,0,153,705,300.0,97,0,0,4.6,2.0,0.6,0.0,0.0,0.438,0.0,0.704,0,0,0,0,0,0,0,0,0
Clint Wager,1949,1949,1,1,0,0,63,143,,90,0,0,2.3,0.0,1.4,0.0,0.0,0.281,0.0,0.617,0,0,0,0,0,0,0,0,0
Jim Spruill,1948,1948,1,1,0,0,1,2,,0,0,0,2.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0,0,0,0,0,0,0,0,0
Jack McCloskey,1952,1952,1,1,0,0,1,6,3.0,1,0,0,6.0,3.0,1.0,0.0,0.0,0.333,0.0,0.0,0,0,0,0,0,0,0,0,0
Adolph Hoefer,1946,1947,2,1,0,0,65,361,,36,0,0,5.6,0.0,0.6,0.0,0.0,0.25,0.0,0.646,0,0,0,0,0,0,0,0,0
Chris McNealy,1985,1987,3,0,1,0,108,466,494.0,110,90,30,4.3,4.6,1.0,0.8,0.3,0.456,0.0,0.658,0,0,0,0,0,0,0,0,0
Briante Weber,2015,2017,3,0,0,1,45,143,86.0,64,39,9,3.2,1.9,1.4,0.9,0.2,0.408,0.192,0.733,0,0,0,0,0,0,0,0,0
Ernie Grunfeld,1977,1985,9,1,0,0,693,5124,1815.0,1419,0,0,7.4,2.6,2.0,0.0,0.0,0.477,0.0,0.77,0,0,0,0,0,0,0,0,0
